"Code","Libelle","Actif","Ordre","Classification","Justification","Classes"
"CAP_CAR","CAP CAR","true","1","Correspondance probable à valider","Le code classe contient CAP CAR, la période utilise le niveau 1 CA.","1|23"
"CAPP","CAPP","true","2","Correspondance impossible à déterminer","Aucune période PFMP et aucun libellé de diplôme développé.","2"
"CAR","CAR","true","3","Correspondance probable à valider","CAR dans la classe, CPA dans le planning.","3|13|24"
"CIEL","CIEL","true","4","Correspondance probable à valider","Spécialité identique ; année déduite de la seule année active.","4|25"
"MELEC","MELEC","true","5","Correspondance impossible à déterminer","Spécialité identique ; plusieurs classes MELEC partagent les périodes.","5|6|26|27|37|38"
"MP3D","MP3D","true","6","Correspondance probable à valider","Écart de code MP3D/MP3.","7|14|28"
"MT","MT","true","7","Correspondance probable à valider","Spécialité identique ; année déduite.","8|29"
"MVA","MVA","true","8","Correspondance probable à valider","Deux classes MVA partagent les mêmes périodes.","9|10|17|18|30|31"
"RMO","RMO","true","9","Correspondance probable à valider","Spécialité identique ; année déduite.","11|32"
"RSP","RSP","true","10","Correspondance probable à valider","Spécialité identique ; année déduite.","12|33"
"MTNE","MTNE","true","11","Correspondance probable à valider","Deux classes MTNE partagent la période.","15|16"
"REMI","REMI","true","12","Correspondance probable à valider","Deux classes REMI partagent la période.","19|20"
"TPMMA","TPMMA","true","13","Correspondance impossible à déterminer","Aucune période et aucune formation renseignée.","34"
"TSEC","TSEC","true","14","Correspondance probable à valider","Formation Ducretet/TSEC trouvée, mais aucune période de type PFMP ou Stage.","35"
"CQPM_ASC","CQPM ASC","true","15","Correspondance impossible à déterminer","Aucune période et aucune formation renseignée.","36"
"BTS_ELEC","BTS ELEC","true","16","Correspondance impossible à déterminer","Classe et période contiennent BTS/ELEC ; suffixe Alt à confirmer.","39|40"
