"Libelle_utilisateur","Classe_Grist_ID","Code_Grist","Libelle_Grist","Annee_scolaire","Diplome_propose","Statut_propose","Periodes_Grist_IDs","Afficher_formulaire_PFMP","Niveau_confiance","Commentaire"
"1CAP CAR","1","1CAP_CAR","1CAP CAR","2026-2027 (déduite)","CAP_CAR","Scolaire ou Apprenti (choix utilisateur)","285","true","Correspondance exacte",""
"1CAR","3","1CAR","1CAR","2026-2027 (déduite)","BAC_PRO_CAR","Scolaire ou Apprenti (choix utilisateur)","26|34","true","Correspondance exacte",""
"1CIEL","4","1CIEL","1CIEL","2026-2027 (déduite)","BAC_PRO_CIEL","Scolaire ou Apprenti (choix utilisateur)","25|33","true","Correspondance exacte",""
"1MELEC","5","1MELEC","1MELEC","2026-2027 (déduite)","BAC_PRO_MELEC","Scolaire ou Apprenti (choix utilisateur)","28|36","true","Correspondance exacte",""
"1MP3D","7","1MP3D","1MP3D","2026-2027 (déduite)","BAC_PRO_MP3D","Scolaire ou Apprenti (choix utilisateur)","29|37","true","Correspondance exacte",""
"1MT","8","1MT","1MT","2026-2027 (déduite)","BAC_PRO_MT","Scolaire ou Apprenti (choix utilisateur)","30|38","true","Correspondance exacte",""
"1MVA1","9","1MVA1","1MVA1","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","27|35","true","Correspondance exacte",""
"1MVA2","10","1MVA2","1MVA2","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","27|35","true","Correspondance exacte",""
"1RMO","11","1RMO","1RMO","2026-2027 (déduite)","BAC_PRO_RMO","Scolaire ou Apprenti (choix utilisateur)","31|39","true","Correspondance exacte",""
"1RSP","12","1RSP","1RSP","2026-2027 (déduite)","BAC_PRO_RSP","Scolaire ou Apprenti (choix utilisateur)","32|40","true","Correspondance exacte",""
"2CAR","13","2CAR","2CAR","2026-2027 (déduite)","BAC_PRO_CAR","Scolaire ou Apprenti (choix utilisateur)","137","true","Correspondance exacte",""
"2MP3D","14","2MP3D","2MP3D","2026-2027 (déduite)","BAC_PRO_MP3D","Scolaire ou Apprenti (choix utilisateur)","140","true","Correspondance exacte",""
"2MTNE1","15","2MTNE1","2MTNE1","2026-2027 (déduite)","DIPLOME_A_DETERMINER_MTNE","Scolaire ou Apprenti (choix utilisateur)","141","true","Correspondance exacte","MTNE/REMI est une famille, pas un diplôme final validé."
"2MTNE2","16","2MTNE2","2MTNE2","2026-2027 (déduite)","DIPLOME_A_DETERMINER_MTNE","Scolaire ou Apprenti (choix utilisateur)","141","true","Correspondance exacte","MTNE/REMI est une famille, pas un diplôme final validé."
"2MVA1","17","2MVA1","2MVA1","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","138","true","Correspondance exacte",""
"2MVA2","18","2MVA2","2MVA2","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","138","true","Correspondance exacte",""
"2REMI1","19","2REMI1","2REMI1","2026-2027 (déduite)","DIPLOME_A_DETERMINER_REMI","Scolaire ou Apprenti (choix utilisateur)","139","true","Correspondance exacte","MTNE/REMI est une famille, pas un diplôme final validé."
"2REMI2","20","2REMI2","2REMI2","2026-2027 (déduite)","DIPLOME_A_DETERMINER_REMI","Scolaire ou Apprenti (choix utilisateur)","139","true","Correspondance exacte","MTNE/REMI est une famille, pas un diplôme final validé."
