"Code_temporaire","Annee_id","Annee_code","Diplome_code","Classe_id","Classe_code","Classe_libelle","Actif_source","Actif_propose","Ordre","Classification","Ambiguite"
"2026-2027__CLASSE_1","1","2026-2027","CAP_CAR","1","1CAP_CAR","1CAP CAR","true","true","1","Correspondance probable à valider","Le code classe contient CAP CAR, la période utilise le niveau 1 CA."
"2026-2027__CLASSE_2","1","2026-2027","CAPP","2","1CAPP","1CAPP","true","true","2","Correspondance impossible à déterminer","Aucune période PFMP et aucun libellé de diplôme développé."
"2026-2027__CLASSE_3","1","2026-2027","CAR","3","1CAR","1CAR","true","true","3","Correspondance probable à valider","CAR dans la classe, CPA dans le planning."
"2026-2027__CLASSE_4","1","2026-2027","CIEL","4","1CIEL","1CIEL","true","true","4","Correspondance probable à valider","Spécialité identique ; année déduite de la seule année active."
"2026-2027__CLASSE_5","1","2026-2027","MELEC","5","1MELEC","1MELEC","true","true","5","Correspondance probable à valider","Spécialité identique ; plusieurs classes MELEC partagent les périodes."
"2026-2027__CLASSE_6","1","2026-2027","MELEC","6","1MELEC_G","1MELEC G","true","true","6","Correspondance probable à valider","Classe suffixée G et doublon actif portant le même nom."
"2026-2027__CLASSE_7","1","2026-2027","MP3D","7","1MP3D","1MP3D","true","true","7","Correspondance probable à valider","Écart de code MP3D/MP3."
"2026-2027__CLASSE_8","1","2026-2027","MT","8","1MT","1MT","true","true","8","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_9","1","2026-2027","MVA","9","1MVA1","1MVA1","true","true","9","Correspondance probable à valider","Deux classes MVA partagent les mêmes périodes."
"2026-2027__CLASSE_10","1","2026-2027","MVA","10","1MVA2","1MVA2","true","true","10","Correspondance probable à valider","Deux classes MVA partagent les mêmes périodes."
"2026-2027__CLASSE_11","1","2026-2027","RMO","11","1RMO","1RMO","true","true","11","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_12","1","2026-2027","RSP","12","1RSP","1RSP","true","true","12","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_13","1","2026-2027","CAR","13","2CAR","2CAR","true","true","13","Correspondance probable à valider","CAR dans la classe, CPA dans le planning."
"2026-2027__CLASSE_14","1","2026-2027","MP3D","14","2MP3D","2MP3D","true","true","14","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_15","1","2026-2027","MTNE","15","2MTNE1","2MTNE1","true","true","15","Correspondance probable à valider","Deux classes MTNE partagent la période."
"2026-2027__CLASSE_16","1","2026-2027","MTNE","16","2MTNE2","2MTNE2","true","true","16","Correspondance probable à valider","Deux classes MTNE partagent la période."
"2026-2027__CLASSE_17","1","2026-2027","MVA","17","2MVA1","2MVA1","true","true","17","Correspondance probable à valider","Deux classes MVA partagent la période."
